tweet,sentiment
I hate how this turned out.,negative
Fantastic experience!,positive
Fantastic experience!,positive
This is the worst thing ever!,negative
What a wonderful day!,positive
Great job by the team!,positive
What a wonderful day!,positive
It ruined my whole day.,negative
This is the worst thing ever!,negative
I hate how this turned out.,negative
What a wonderful day!,positive
Really disappointed in the results.,negative
I'm so happy about the news!,positive
This update made my day!,positive
I'm sick of this happening.,negative
I'm so happy about the news!,positive
This update made my day!,positive
I'm sick of this happening.,negative
Really disappointed in the results.,negative
What a wonderful day!,positive
This is the worst thing ever!,negative
This is the worst thing ever!,negative
I'm so happy about the news!,positive
This update made my day!,positive
This update made my day!,positive
It ruined my whole day.,negative
I hate how this turned out.,negative
It ruined my whole day.,negative
Absolutely loved this!,positive
Such a terrible decision.,negative
What a wonderful day!,positive
I'm sick of this happening.,negative
Really disappointed in the results.,negative
I'm so happy about the news!,positive
Fantastic experience!,positive
Fantastic experience!,positive
Such a terrible decision.,negative
Such a terrible decision.,negative
What a wonderful day!,positive
This is the worst thing ever!,negative
What a wonderful day!,positive
Such a terrible decision.,negative
I'm so happy about the news!,positive
This is the worst thing ever!,negative
It ruined my whole day.,negative
This update made my day!,positive
Fantastic experience!,positive
Really disappointed in the results.,negative
I hate how this turned out.,negative
Really disappointed in the results.,negative
I'm sick of this happening.,negative
What a wonderful day!,positive
I'm sick of this happening.,negative
Absolutely loved this!,positive
This update made my day!,positive
Really disappointed in the results.,negative
What a wonderful day!,positive
This is the worst thing ever!,negative
I'm so happy about the news!,positive
I'm sick of this happening.,negative
I hate how this turned out.,negative
Great job by the team!,positive
Such a terrible decision.,negative
I'm sick of this happening.,negative
It ruined my whole day.,negative
This update made my day!,positive
Fantastic experience!,positive
Such a terrible decision.,negative
What a wonderful day!,positive
Absolutely loved this!,positive
Fantastic experience!,positive
Absolutely loved this!,positive
Really disappointed in the results.,negative
What a wonderful day!,positive
I'm so happy about the news!,positive
What a wonderful day!,positive
I'm sick of this happening.,negative
Such a terrible decision.,negative
Absolutely loved this!,positive
This is the worst thing ever!,negative
Fantastic experience!,positive
Absolutely loved this!,positive
What a wonderful day!,positive
Fantastic experience!,positive
This is the worst thing ever!,negative
I hate how this turned out.,negative
I'm so happy about the news!,positive
I hate how this turned out.,negative
I'm so happy about the news!,positive
I'm so happy about the news!,positive
Fantastic experience!,positive
I'm sick of this happening.,negative
This update made my day!,positive
Absolutely loved this!,positive
This update made my day!,positive
Great job by the team!,positive
Great job by the team!,positive
What a wonderful day!,positive
Absolutely loved this!,positive
Great job by the team!,positive
Absolutely loved this!,positive
I hate how this turned out.,negative
I'm so happy about the news!,positive
Fantastic experience!,positive
This update made my day!,positive
This is the worst thing ever!,negative
Great job by the team!,positive
This is the worst thing ever!,negative
What a wonderful day!,positive
This is the worst thing ever!,negative
Really disappointed in the results.,negative
I'm so happy about the news!,positive
It ruined my whole day.,negative
Fantastic experience!,positive
